"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"R2HZ9XP6ZT9456",5,22,23,"N","Y"
"R193268E8C39PF",5,23,23,"N","Y"
"R2WIQKA8AALP5O",1,37,45,"N","N"
"R3AZIF6U4TMRBD",4,23,23,"N","N"
"REGYKNLLG4Y3Q",4,21,24,"N","Y"
"R3IDYWA19AA7AF",5,71,73,"N","Y"
"R10C8ZU72LQFO6",5,32,34,"N","Y"
"R1U30MG655WL50",5,43,49,"N","Y"
"R39B9TQ9KEMYBP",5,19,22,"N","Y"
"R3HU3CVFQBQBJX",5,37,37,"N","Y"
"RZYEZXY0QZ6JP",5,20,20,"N","Y"
"R2IBZ2WXTWAOD5",1,60,63,"N","Y"
"R2VS3IPXOG1PT4",4,38,38,"N","Y"
"RWRP8FOMCXNXV",3,49,50,"N","Y"
"R3VV5SUHNMAMHH",5,28,28,"N","Y"
"R320HZZSHFEMT5",2,22,24,"N","Y"
"R1J6ZR57XNB405",4,30,32,"N","Y"
"R3FAXO7JKW3G97",2,50,53,"N","Y"
"RQGV5SMTRAXI3",5,27,27,"N","Y"
"RNBT4DQX0WHI8",5,62,62,"N","Y"
"RFO47EUA8VO07",1,153,165,"N","Y"
"R2JZO2R4VVBZDW",5,49,50,"N","Y"
"R2JWXZ4KU8L5P0",1,25,25,"N","Y"
"R2S66ILV39NLDI",5,19,22,"N","Y"
"R3ESZI4UG0RXD3",5,43,47,"N","N"
"R2RK03Y5TJGFZ6",1,20,21,"N","Y"
"R2Y5OM536GYDHF",5,26,26,"N","Y"
"R3RYXKMECDPXYY",2,14,20,"N","Y"
"R2FJZBCRBLMND2",1,0,21,"N","Y"
"R2QCT2OLYF565B",3,34,35,"N","Y"
"R2LU3CJZYIJO82",1,42,43,"N","Y"
"R30E5K9XDOQ7L2",5,30,34,"N","Y"
"R2DWV5OZOAVP19",1,45,51,"N","Y"
"R48RAY81XED03",4,27,27,"N","Y"
"R19XEVS2O6Q8I1",1,37,38,"N","N"
"R1TGPA6U2W47E1",5,32,34,"N","Y"
"RH74E2XQLUNM2",5,56,58,"N","Y"
"R13TZJ3U6VC0A7",3,36,39,"N","Y"
"RSEPOOOF2B5UC",1,32,32,"N","Y"
"R18F8WSB8CJHC4",4,23,25,"N","Y"
"R1CA1PWDL60QJR",3,21,23,"N","Y"
"R2TIG86V4VJRNW",5,37,41,"N","Y"
"RUU344NVNJGXA",4,26,28,"N","Y"
"R24RQJW8AZ8PKS",5,26,28,"N","Y"
"RPGETSZ7YWJJC",4,22,26,"N","Y"
"R2SNHN4ZKDXNAB",4,179,183,"N","Y"
"R3PTRW8KR1AFVR",5,20,21,"N","Y"
"R2W6FD6J8FGIOB",5,17,20,"N","Y"
"R28C3Q3YX5AEL3",5,79,81,"N","Y"
"RL9JST9DZDYRU",5,20,21,"N","Y"
"RPSQMLIM6GUL",1,122,133,"N","Y"
"R20W3CSY3BX4FB",1,60,62,"N","N"
"R3CXXKNT3INKJV",5,31,38,"N","Y"
"R19P43S03GCT4O",1,27,36,"N","Y"
"RJJXJWSYX5RBM",2,21,23,"N","Y"
"R3I6HBPHEEGNIZ",1,40,47,"N","Y"
"R2M14I62126UHS",2,23,23,"N","Y"
"RWV2OL696MG2O",1,36,36,"N","Y"
"R1UHBSTWOGCAKC",3,23,25,"N","Y"
"RM3GSFRCTZP4L",5,33,33,"N","Y"
"R3TX3AU91CXQKZ",4,28,28,"N","Y"
"ROAQ2LPNQEMJ7",5,23,24,"N","N"
"RSG6AZRGUJI1Y",5,31,33,"N","Y"
"R2TT1R6F7DZYFB",5,35,36,"N","Y"
"RZW4E65TOIKF8",1,24,27,"N","Y"
"R19UYYBA308NXI",3,131,146,"N","Y"
"R1KAS31VOTOR4E",5,19,20,"N","Y"
"R2LQ6NL3EMT4JM",5,60,62,"N","Y"
"R3M5QGJ6UNIDJV",5,33,34,"N","N"
"R2YTI4J186A8Z0",5,44,46,"N","Y"
"R2IR95PR072DD3",1,26,26,"N","Y"
"R1UDZXYELNM9YN",1,28,28,"N","Y"
"R2MI0Q7CJ46FXC",5,20,21,"N","Y"
"RIDEBJ9PLGE4Z",5,43,48,"N","Y"
"R2S6NOK9BEP3FF",1,13,25,"N","N"
"R19S6PSEX8076G",4,33,33,"N","Y"
"R27Y4NDU63THZR",1,35,39,"N","Y"
"R1LZBO3C53337P",1,14,20,"N","Y"
"R2O9SOJ201GZPV",2,37,48,"N","Y"
"RC4KPV4GV2RIQ",5,23,24,"N","Y"
"R2IUVMSNG0YYK",5,31,34,"N","Y"
"RST8CWPRU9B04",1,16,21,"N","Y"
"RV5D6RQ8P7JWB",5,22,22,"N","Y"
"R2AP9F42G91ERC",1,1,25,"N","N"
"R3FNVANJ41ZOUX",4,31,31,"N","Y"
"RZB9BM2S1RD7V",5,25,26,"N","Y"
"R1D0MNJ89G6RFO",4,24,25,"N","Y"
"R24IY2I6XR05VG",5,254,266,"N","Y"
"RCCRPQ9FB1F4W",5,85,90,"N","Y"
"R17ML6FZLO8DYW",5,64,65,"N","Y"
"R3J9RWI0753TSA",5,124,124,"N","Y"
"R1741MKO0IOO8T",2,24,26,"N","Y"
"R1NATHAOHRSUD2",4,20,20,"N","Y"
"R35SVLD2R82RRI",1,24,26,"N","N"
"R2STD8ANLJWJ16",5,58,59,"N","Y"
"R2ZJXIBD01FNXA",4,44,45,"N","Y"
"RDK9SEWKKWM20",5,19,20,"N","Y"
"R1BDIZEW98F2AO",5,20,21,"N","Y"
"R2NY1PR47LH6AB",5,35,35,"N","Y"
"R1ZJD8BGD0EV7O",2,32,37,"N","Y"
"R3I5ELQW9KYF04",2,30,32,"N","Y"
"R2I92MZD2O4FQE",3,0,21,"N","Y"
"R39EZPVBJS0K6N",2,44,53,"N","Y"
"R2YP83IKM64VB7",5,27,28,"N","Y"
"R200C5KKVVCCGM",5,20,22,"N","Y"
"R331XW3FBY7VCI",4,26,29,"N","Y"
"RT3DEX8L2RBBU",5,63,64,"N","N"
"R3KO3BPGZQVFLZ",4,38,39,"N","Y"
"R3JOO7QD6FB54M",1,109,118,"N","Y"
"RTDJP5O8IA1KL",3,35,44,"N","Y"
"R18QV7EVQAQ217",1,30,30,"N","Y"
"R23MP9125EOP6S",4,24,26,"N","Y"
"R1Z2IX31CI0QWL",5,37,39,"N","Y"
"R6GIWP8UVB1E7",4,21,23,"N","Y"
"RLYCJ1ZXTHL5L",3,37,38,"N","Y"
"R147S4KIJJZ9DP",4,36,38,"N","Y"
"R23QSBMEOUDNQ6",5,18,21,"N","Y"
"R28YX1TTMOTJZ6",4,23,23,"N","N"
"R15X7RPLYG9J5R",1,20,21,"N","Y"
"R1OWYHHE0L6LH9",5,22,25,"N","Y"
"R1GRKMY4YIK7FR",5,21,21,"N","Y"
"R6JVWZOALRKUP",1,85,101,"N","Y"
"R38JLC7CJHSSIQ",5,130,132,"N","N"
"R1ZGS8HJSULQJV",4,33,33,"N","Y"
"R3I5HCT3EE9Y09",4,53,56,"N","Y"
"R14MQ35R4NVNAH",1,17,21,"N","Y"
"R3D7Z2T6KDN63R",5,98,101,"N","Y"
"R1I90PIWSW5KYZ",5,29,30,"N","Y"
"R13334DADEL1R",5,32,32,"N","Y"
"R7ODQ5U3C5NOT",5,22,22,"N","Y"
"RS81KTVAKTJ50",3,59,71,"N","Y"
"RYB8EKKFTAQC",4,30,31,"N","Y"
"R2YHWZLEC6L0D2",1,22,23,"N","Y"
"RIIBGCKMUA7O3",5,17,20,"N","Y"
"R1KDHOQDRQ7XAZ",5,23,23,"N","Y"
"R1W0BH18L07WUH",1,19,21,"N","Y"
"R14S5O4VS1BZJH",5,30,30,"N","Y"
"R3M19IVT3A6UC8",1,46,50,"N","Y"
"R36NTYYWBX7WUZ",5,22,22,"N","Y"
"R1658TGZOSZ85H",3,14,20,"N","N"
"R3S942OUBYNLG6",3,59,61,"N","Y"
"R2S40KR3GWH42X",5,19,20,"N","Y"
"R2WKIF3GWY09SO",1,24,27,"N","Y"
"R277O2I64N15UK",5,26,27,"N","Y"
"R35F6U7YTYRT4M",5,25,25,"N","Y"
"R2KC8WNS8DV87S",1,21,23,"N","Y"
"R24XZXRULSEMA6",4,22,22,"N","Y"
"R2377XPDIWEXP1",4,31,32,"N","N"
"R1CL7OLHX0MWW7",1,18,20,"N","Y"
"R1OMYRR4RK6JSV",5,21,21,"N","Y"
"R3FUA1WB514H79",5,20,23,"N","Y"
"RQ7ESRIHV3YR7",1,42,49,"N","Y"
"R1P2HJFL59M07M",1,38,39,"N","Y"
"R3ME7SB61GUPOR",1,129,139,"N","Y"
"R2ITAFWFJAFXBZ",5,215,217,"N","Y"
"R29SNRTZLH9SAJ",1,43,52,"N","N"
"R2HGNSH51M3Y1Z",5,19,20,"N","Y"
"R1KD7MFP2CO3SN",5,24,24,"N","Y"
"R1KLWVGOQKHQZ1",1,32,33,"N","Y"
"RRVV8Y18S9GSP",4,80,83,"N","Y"
"R30TLFCF7YOQ3X",1,24,27,"N","Y"
"RZ4QVNTBWAO09",1,41,45,"N","N"
"R2JIJ8IKY8FXIN",4,45,45,"N","Y"
"R374I723KDYJXR",1,31,33,"N","Y"
"R2YKBE9BI1Q1SU",5,66,68,"N","Y"
"RYXZ31SVCR997",5,655,778,"N","N"
"R2C5MHSQZPD58K",4,32,33,"N","Y"
"R29GPBPS0GEWGH",5,58,59,"N","Y"
"RCJ09NGQTW2VM",5,50,55,"N","Y"
"R1IX5QEL2PRUEM",4,23,27,"N","Y"
"R1UQO0FS8LOQHN",5,20,21,"N","Y"
"R3RLGNABTJI6P9",5,27,28,"N","N"
"R2WLYKFRZJICRJ",5,20,24,"N","N"
"R228NIHY49L21N",5,24,24,"N","Y"
"R2H0NISJNR2CJ9",1,72,74,"N","Y"
"R2YN02YC71XIC2",1,66,70,"N","Y"
"R2YAUICTW0YZT8",1,19,20,"N","Y"
"R2MKUZG7TPB7YY",4,235,244,"N","N"
"R10198WSHKPDYQ",3,23,23,"N","Y"
"R11AFL1TXA7RQD",5,51,53,"N","Y"
"R2E1L8Y53LPLP6",5,94,95,"N","Y"
"R2WB7W3NMV18MV",5,22,26,"N","Y"
"R3QF5YWHRD86ON",5,64,69,"N","N"
"R1WS0K29R02LTA",4,22,24,"N","N"
"RV1KRIMFRNXES",5,41,41,"N","Y"
"R21S2BZGNBFA9G",4,29,31,"N","Y"
"R17P30AXSBZZEV",5,37,37,"N","Y"
"R267METXFDJMWM",4,26,29,"N","Y"
"R1LF7AKMDR8FQ6",1,24,27,"N","Y"
"R341UHOA438MD8",1,23,23,"N","Y"
"R114CVFGMQDTCG",2,113,114,"N","Y"
"RUCKVECOCNBNW",1,31,35,"N","Y"
"R2GV0BK3O69RSZ",1,10,20,"N","N"
"R394J4ADZZNBI9",5,26,26,"N","Y"
"R2K4JPF5TBAQNY",5,57,63,"N","Y"
"R1BL9V23M7D7UZ",5,20,22,"N","Y"
"R18KFCHYC6OAP5",4,31,31,"N","Y"
"RCCZ7Y2C6NX3N",5,28,28,"N","Y"
"R8YAMCOC4CHE9",5,80,83,"N","Y"
"R23DD5UYIK6OK2",5,20,20,"N","Y"
"R2055AK0EEMSB9",5,20,20,"N","Y"
"R22UMIEAPRJCCI",4,22,23,"N","Y"
"R2GDAK1N81EWRC",2,24,24,"N","Y"
"R37MPZUZCHTG8L",4,47,48,"N","Y"
"R3AIKXQEP72IO3",5,25,26,"N","Y"
"R1XNVD9RZ5VP7R",3,21,23,"N","Y"
"RLVAJ5BH1UR3A",1,65,70,"N","Y"
"R1F86J9BIFWBI0",4,38,42,"N","N"
"R3NJ0L7ZG714YP",5,25,25,"N","Y"
"R2OSIT25INEQEJ",5,18,20,"N","Y"
"RS7BJ8C8B94WX",1,164,171,"N","Y"
"R1OE5GYL10O59R",5,33,34,"N","Y"
"R2V6DZMGL9SOM2",5,42,42,"N","Y"
"R25U68JI787S5G",4,82,85,"N","Y"
"R5JKEFN2P4G7Z",4,31,32,"N","Y"
"R6DR77AEGECY",1,68,73,"N","Y"
"R21856WHWYWMIX",5,20,22,"N","Y"
"RMI7CMCMXIEK8",5,20,20,"N","Y"
"R2W5WGPGT9X9I2",5,22,22,"N","Y"
"R3BE4N27UYCUPJ",4,18,20,"N","Y"
"R3CSU42LYQF7PI",5,66,69,"N","Y"
"R2T2DP9JZGRPFG",1,196,208,"N","Y"
"R3LZ8AIRNCDH60",5,61,62,"N","Y"
"R2BEXWVCIEXAQO",3,131,133,"N","Y"
"R3FCBMKGOKPL7L",4,170,175,"N","Y"
"R23D4MXVFQ6WDE",1,26,26,"N","Y"
"R113G90WRHFRU1",5,46,47,"N","N"
"RTFR5668K89YI",5,38,39,"N","Y"
"R1J7TA27Q3SZOP",5,18,21,"N","Y"
"R22Y1GDHBV89YS",4,141,146,"N","Y"
"R3G1V2G4IZYQ2A",1,1,50,"N","N"
"R2J4O9061D14MN",3,20,23,"N","Y"
"R3DE3IBV11I68M",4,28,29,"N","Y"
"RIKL2OLK6I80F",5,20,23,"N","Y"
"R1CO3XW4COEVG1",4,48,50,"N","Y"
"RKH7UD10XEFZ0",5,56,59,"N","N"
"R1KEJHBP7J173J",5,19,20,"N","Y"
"R1ABMK9C2K6UYO",1,32,33,"N","Y"
"R3D7TFAO2WW48N",1,28,29,"N","Y"
"R29U505XR7DDB",5,85,87,"N","Y"
"R38LXEGCSZPC5R",5,96,101,"N","Y"
"R165LROJVCTA5F",1,73,78,"N","N"
"R1X8KNA4DPDIW",5,28,30,"N","Y"
"RNQWEFXZRGOYF",1,32,33,"N","Y"
"R17QYEAZ6LKQH8",5,45,46,"N","Y"
"RNG49AFF56C0L",5,18,21,"N","Y"
"R2JNTRSEJ5AZOH",4,24,26,"N","Y"
"RATEIGTTTDJV6",1,50,53,"N","Y"
"R2NV88UJYJ5XIR",4,21,24,"N","Y"
"R26XB08KI1MDIT",5,28,30,"N","N"
"R3ITFTRSGLJ8LB",5,33,38,"N","Y"
"R23LLAG1LJ3JIT",1,48,57,"N","N"
"R39T19F6347OFX",2,132,142,"N","N"
"R36O16JJDQNDKL",5,31,33,"N","N"
"R1X8KLX5K5H33X",5,20,20,"N","N"
"RK8SZKLQC1DX4",1,11,23,"N","Y"
"R6Z6D42W2M0L",4,28,30,"N","Y"
"R2SDLKOLI9K5RY",5,42,45,"N","Y"
"R2PVW73JK3L8YT",5,36,39,"N","Y"
"R2BIL5JUPTBJYD",2,18,20,"N","Y"
"REVBNN3OP35UE",5,20,21,"N","Y"
"R2N528JZAK5D2B",5,44,44,"N","Y"
"RRNC51IBFDFJV",5,60,61,"N","Y"
"R3B890DKUL4XXJ",5,25,26,"N","Y"
"R1998UQXW08LKD",5,593,605,"N","Y"
"R7DGH0GXEUHBC",5,59,59,"N","Y"
"RV96B2AK0IP2O",5,48,49,"N","Y"
"R2XD96BMRB65HQ",4,20,20,"N","Y"
"R1JMXOBD6VYFRX",3,19,20,"N","Y"
"R3T2XIEI788Q78",5,95,97,"N","Y"
"REY0L6142BAF1",5,61,64,"N","Y"
"R3FDVU3XNAU13R",5,39,40,"N","Y"
"R3PAEGM8ML07CJ",5,150,151,"N","Y"
"R2XVU2AW5XX090",5,49,56,"N","Y"
"R2J8R6IO1B7ONJ",5,46,46,"N","Y"
"R2KG5VD3Y2I23E",4,21,23,"N","Y"
"R2HDXB18I2CXUX",5,19,23,"N","Y"
"R1DM63CUKVTQRO",3,22,25,"N","Y"
"R1QQR5XN1S0DW6",1,27,30,"N","Y"
"RG9L2LVEEZPD1",2,23,23,"N","Y"
"RIWLQSGV4DQ9D",1,18,21,"N","Y"
"R2AHJF4PFKCBZZ",5,29,31,"N","N"
"R2I1FFDDPHPNKH",5,27,28,"N","Y"
"RNMQL9MSG413Q",1,31,35,"N","Y"
"R3UFDM89GWX6LX",5,23,24,"N","Y"
"R19FP8X934VJ3E",3,31,33,"N","Y"
"R2ZU0JC356NSWB",5,49,55,"N","Y"
"R2NHIXLGAH061X",5,22,23,"N","Y"
"RPYBPNAGYLM6Y",5,28,30,"N","Y"
"R24I3IH26C2MR4",5,20,21,"N","Y"
"R1INPCETG8JPCW",4,19,20,"N","Y"
"RXVU8UWFUVG5E",5,21,21,"N","Y"
"R2JLCOGG09QIZK",2,49,61,"N","Y"
"R1Y9LGUK9X5LUN",5,27,28,"N","Y"
"R1ROTCBYO7Z1G8",5,74,77,"N","Y"
"R1VUSM2WFSU6F2",5,21,22,"N","Y"
"RXLBT3FVTJRR2",1,0,26,"N","N"
"R3A8R2Z5OP9812",5,24,26,"N","Y"
"R2PG4INNF093KP",5,87,88,"N","Y"
"R39JQ8PHJ3K3AA",1,43,46,"N","N"
"R2ZX3KI4KH6T19",4,57,64,"N","Y"
"R3KMTHEAF6Q4JM",5,34,35,"N","Y"
"ROOIIG8HGIYX5",5,42,45,"N","Y"
"R3Q4ETLHG8V9M4",5,54,58,"N","N"
"R2ITDEMLR7D91Q",2,29,32,"N","Y"
"R37BVCSD0VF8RY",5,37,37,"N","Y"
"R1P4NTAKN0QCU2",5,34,38,"N","Y"
"R29DK25YILD42R",4,37,40,"N","Y"
"RGX3JO950A05M",1,0,51,"N","Y"
"R1GXSQVK20JIID",1,21,23,"N","Y"
"R3JLZPI4QA1U3P",5,30,32,"N","Y"
"RFNCVEGKHCJB3",5,35,43,"N","Y"
"R2QGLUJ6D7YFGF",1,6,21,"N","N"
"R2AW58EFLF2TT2",5,26,28,"N","Y"
"R1H5ULVH8TNQBP",5,23,25,"N","Y"
"R1AT39K79KQ1K3",1,45,47,"N","Y"
"R16DK79ZXUGNCF",5,110,114,"N","Y"
"R1OPNATW6ILGHS",5,53,53,"N","Y"
"RF2X1QRHNCH2Z",2,194,206,"N","Y"
"R37MAR7DWGJJVB",5,45,46,"N","Y"
"RYH4G4PTJ9Q4R",5,129,135,"N","Y"
"R1AGUDEVJIDODX",1,42,46,"N","Y"
"R13QQSM8R28SIN",5,109,112,"N","Y"
"R1O0TK1V7KLPWS",3,61,63,"N","Y"
"RQCQPXE80ATVH",5,33,34,"N","Y"
"RHJZYRALOM5VF",5,20,21,"N","Y"
"R210AQJ1IWN8B3",4,21,21,"N","Y"
"R1WNPE7UZD6OVY",4,48,48,"N","N"
"RART8ABGAGTIT",3,32,33,"N","Y"
"R3UKIQH116JH8B",2,23,23,"N","Y"
"R1AREZSPLMOLN9",4,18,21,"N","Y"
"R11W5JKK5HVN76",5,24,27,"N","Y"
"R14QTPX6LYODAZ",5,36,40,"N","Y"
"R1RWIFG2BQAMME",4,40,41,"N","Y"
"R2EGW3I1BEBAZ3",5,22,23,"N","Y"
"R1BQ1V3EAT10VG",5,57,59,"N","Y"
"R2A7XO72MUPW8L",5,23,24,"N","Y"
"RY5RT8L1TXE5Q",4,49,54,"N","Y"
"R3VU6PJKXQ6IPI",4,22,22,"N","Y"
"R235LCAF41DPJD",1,40,43,"N","Y"
"RL0V9L89SSEJE",5,28,28,"N","Y"
"R3GQUCPUUU3ZZB",5,16,24,"N","N"
"RBCE9HPHD1U26",1,51,54,"N","Y"
"R1CJI4Y1SSBMPO",4,42,43,"N","Y"
"R120ZWLMVZXZD7",4,36,38,"N","N"
"R3L9948QM8LLO3",1,17,21,"N","Y"
"R17XK3YCWOVIGK",5,21,22,"N","Y"
"R1GU80G1LZUZQI",5,56,64,"N","Y"
"R14Z2ZGZ1AK3OH",5,21,22,"N","Y"
"R1LITB09YYUAV",5,19,20,"N","Y"
"R1FY7QX8ZVKF3B",2,23,27,"N","Y"
"R2GXYQP5EKQIT9",4,21,24,"N","N"
"R3U0HIYMIGCJS7",5,20,20,"N","Y"
"R1EG1IJCE1D141",5,20,20,"N","Y"
"RNWMOS9144G79",1,38,39,"N","N"
"R37CQWDB30MOX1",4,26,28,"N","Y"
"RWB17WGV20COS",5,48,52,"N","N"
"R36EHVYMEWWALJ",4,34,35,"N","Y"
"RTWX8U1M0NA4P",4,26,28,"N","Y"
"RIFT6V9YY8JGG",1,30,30,"N","N"
"R36J1VO75OXBMK",4,27,29,"N","Y"
"R2TN2K6LSCNQTS",5,26,26,"N","Y"
"R1S3RBEC839UA9",1,26,28,"N","Y"
"R18LM6SUJFXGXJ",5,30,31,"N","Y"
"R3NJANYTDUF9MP",3,22,22,"N","Y"
"RXO36FUOE6CS5",5,24,29,"N","Y"
"R2ZUEKHNG5JHGY",5,23,24,"N","Y"
"RV6H1E0DEBYY6",2,31,31,"N","Y"
"R3RWPPANPT5JBR",3,26,27,"N","Y"
"RM9Z5FUNHQD5",5,88,89,"N","Y"
"R1GADKQ24KNWM5",5,32,33,"N","Y"
"R3V4MYIYGQ2QH",5,22,24,"N","Y"
"R1NQ6F3MZQ9HAF",1,42,47,"N","Y"
"R3DTX19LO1OAPM",5,20,23,"N","Y"
"R3QRIOWGDTGI07",4,66,66,"N","Y"
"R22WRUUZ9OIC8A",5,19,20,"N","Y"
"R31EKKW4K8UX9Z",5,29,30,"N","Y"
"R29S6H1HTK74KT",1,25,27,"N","Y"
"R1MF10NN5I0EFL",4,24,28,"N","Y"
"R37UKAS4DODI5J",5,39,43,"N","Y"
"RWHZOGPM2V9H",5,23,24,"N","N"
"R12D30NSCTOP0Y",3,41,41,"N","Y"
"R2KA5C441VFCQ4",4,18,21,"N","Y"
"R6AQ78FNLY67J",4,44,50,"N","Y"
"R3H9ASI1NNFCSR",5,149,152,"N","Y"
"R2LHOCKZ2Q8ADP",5,45,45,"N","Y"
"RV2AP5M29VDRL",5,20,20,"N","Y"
"RUFJXZ8Z2V7G1",5,24,28,"N","Y"
"R139CTCY6YA4VU",5,25,29,"N","Y"
"R2E2PSGZUCGXYA",3,59,62,"N","N"
"R15Y6CN6APTQCS",5,17,21,"N","Y"
"R2J2D8PHQ6HSXG",5,99,103,"N","Y"
"RPCV4RMSUHK2J",5,63,73,"N","Y"
"R22S46K6PE05HO",5,21,26,"N","N"
"RI4220JS2VE1U",4,47,48,"N","Y"
"RLIDCMV0LYIWP",1,37,42,"N","N"
"R2WWOW35ZG2C2V",5,97,101,"N","Y"
"R3CL305F1PKA6O",1,37,38,"N","N"
"R35R8QEM7QM13G",4,27,27,"N","Y"
"R1P5WYM1IQLLBR",5,21,21,"N","Y"
"R1OBPW5GCVCCB",4,27,27,"N","Y"
"R2MQ19J8RM1F8T",3,36,38,"N","N"
"R7WWBSFWLJ7CW",4,34,35,"N","Y"
"R24R39IP0X4V3N",5,25,25,"N","Y"
"R2R2YJRGTO9O4I",3,25,26,"N","Y"
"R2GC2JW1HR42XP",5,23,26,"N","N"
"R1I1V7X4BM102N",5,23,25,"N","Y"
"RDC35X4BHHZZ7",5,20,20,"N","Y"
"R2IR0SEWPSL01M",5,24,27,"N","N"
"R2P5RMRN2G1A8J",5,20,20,"N","Y"
"R2WZF3A7331UAI",5,21,21,"N","Y"
"R21XL6LSBA6PI5",5,32,35,"N","Y"
"RN493T9L296VZ",5,90,90,"N","Y"
"R9HFGCFD0XIG2",3,33,34,"N","N"
"R18ZAHRLUPUKVT",1,154,160,"N","Y"
"R2GYU1O3TTMFMT",1,17,22,"N","Y"
"R1I65L2CFG53XW",3,19,21,"N","Y"
"RRNLIBIU81FZB",5,44,45,"N","Y"
"RAPOB4HCL6T5A",5,27,27,"N","Y"
"R17OW4ERZ7TTCJ",4,41,47,"N","Y"
"R2LOQ4QHKLW993",4,38,43,"N","Y"
"R13R45IJ9ZA0KY",5,26,26,"N","Y"
"R2VUPBS8XFYBBA",1,140,152,"N","Y"
